origin,destination,count
"Italy","Seychelles","122"
"Spain","Seychelles","25"
"Belgium","Seychelles","38"
"France","Seychelles","240"
"Germany","Seychelles","85"
"Russian Federation","Seychelles","96"
"United Kingdom of Great Britain and Northern Ireland","Seychelles","291"
"Nigeria","Seychelles","137"
"South Africa","Seychelles","256"
"Kenya","Seychelles","411"
"Madagascar","Seychelles","804"
"Mauritius","Seychelles","554"
"Somalia","Seychelles","64"
"Uganda","Seychelles","28"
"Australia","Seychelles","52"
"Cuba","Seychelles","43"
"Eritrea","Somalia","34"
"Ethiopia","Somalia","2079"
"India","South Sudan","1414"
"Egypt","South Sudan","5145"
"Libya","South Sudan","153"
"Sudan","South Sudan","552391"
"Central African Republic","South Sudan","4574"
"Chad","South Sudan","5184"
"Democratic Republic of the Congo","South Sudan","82755"
"Mali","South Sudan","203"
"Nigeria","South Sudan","3537"
"Eritrea","South Sudan","3318"
"Ethiopia","South Sudan","12786"
"Kenya","South Sudan","9558"
"Uganda","South Sudan","140607"
"Bangladesh","Uganda","148"
"India","Uganda","4065"
"Pakistan","Uganda","691"
"China","Uganda","423"
"Democratic People's Republic of Korea","Uganda","154"
"Japan","Uganda","210"
"Republic of Korea","Uganda","180"
"Greece","Uganda","42"
"Italy","Uganda","418"
"Spain","Uganda","62"
"Belgium","Uganda","45"
"France","Uganda","257"
"Germany","Uganda","241"
"Netherlands","Uganda","221"
"Russian Federation","Uganda","316"
"Denmark","Uganda","180"
"United Kingdom of Great Britain and Northern Ireland","Uganda","1241"
"Sudan","Uganda","164136"
"Democratic Republic of the Congo","Uganda","303580"
"Burundi","Uganda","45345"
"Eritrea","Uganda","3529"
"Ethiopia","Uganda","1070"
"Kenya","Uganda","43512"
"Mozambique","Uganda","30"
"Rwanda","Uganda","76861"
"Somalia","Uganda","28586"
"United Republic of Tanzania","Uganda","25321"
"Canada","Uganda","275"
"United States of America","Uganda","994"
"India","United Republic of Tanzania","8010"
"Pakistan","United Republic of Tanzania","668"
"Italy","United Republic of Tanzania","575"
"Germany","United Republic of Tanzania","967"
"United Kingdom of Great Britain and Northern Ireland","United Republic of Tanzania","1061"
"Angola","United Republic of Tanzania","1249"
"Congo","United Republic of Tanzania","25017"
"Democratic Republic of the Congo","United Republic of Tanzania","58250"
"Botswana","United Republic of Tanzania","141"
"Lesotho","United Republic of Tanzania","149"
"Namibia","United Republic of Tanzania","644"
"South Africa","United Republic of Tanzania","712"
"Swaziland","United Republic of Tanzania","88"
"Burundi","United Republic of Tanzania","87099"
"Comoros","United Republic of Tanzania","596"
"Kenya","United Republic of Tanzania","27247"
"Malawi","United Republic of Tanzania","6907"
"Mauritius","United Republic of Tanzania","192"
"Mozambique","United Republic of Tanzania","14651"
"Rwanda","United Republic of Tanzania","581"
"Seychelles","United Republic of Tanzania","374"
"Somalia","United Republic of Tanzania","2967"
"Uganda","United Republic of Tanzania","4857"
"Zambia","United Republic of Tanzania","8573"
"Zimbabwe","United Republic of Tanzania","852"
"Canada","United Republic of Tanzania","294"
"United States of America","United Republic of Tanzania","1291"
"India","Zambia","5349"
"China","Zambia","2480"
"Japan","Zambia","88"
"France","Zambia","78"
"Germany","Zambia","371"
"United Kingdom of Great Britain and Northern Ireland","Zambia","1432"
"Egypt","Zambia","230"
"Angola","Zambia","17464"
"Cameroon","Zambia","892"
"Congo","Zambia","9562"
"Democratic Republic of the Congo","Zambia","13409"
"Ghana","Zambia","179"
"Mali","Zambia","229"
"Nigeria","Zambia","963"
"Senegal","Zambia","131"
"Botswana","Zambia","2639"
"Namibia","Zambia","1566"
"South Africa","Zambia","3341"
"Burundi","Zambia","3014"
"Kenya","Zambia","785"
"Malawi","Zambia","11258"
"Mozambique","Zambia","2010"
"Rwanda","Zambia","3438"
"Uganda","Zambia","382"
"United Republic of Tanzania","Zambia","4493"
"Zimbabwe","Zambia","19503"
"Australia","Zambia","470"
"Canada","Zambia","225"
"United States of America","Zambia","1360"
"United Kingdom of Great Britain and Northern Ireland","Zimbabwe","7560"
"Botswana","Zimbabwe","3286"
"South Africa","Zimbabwe","18610"
"Malawi","Zimbabwe","102849"
"Mozambique","Zimbabwe","94382"
"Zambia","Zimbabwe","30662"
"Portugal","Angola","15528"
"Chad","Angola","36"
"Congo","Angola","1203"
"Democratic Republic of the Congo","Angola","43192"
"Sao Tome and Principe","Angola","9123"
"Cabo Verde","Angola","10459"
"Côte d'Ivoire","Angola","46"
"Guinea","Angola","382"
"Namibia","Angola","1012"
"South Africa","Angola","7144"
"Mozambique","Angola","283"
"Rwanda","Angola","1216"
"Zambia","Angola","350"
"Greece","Cameroon","147"
"Italy","Cameroon","390"
"France","Cameroon","3547"
"Germany","Cameroon","226"
"Netherlands","Cameroon","122"
"United Kingdom of Great Britain and Northern Ireland","Cameroon","196"
"Angola","Cameroon","1964"
"Central African Republic","Cameroon","201957"
"Chad","Cameroon","54160"
"Congo","Cameroon","2270"
"Democratic Republic of the Congo","Cameroon","3134"
"Equatorial Guinea","Cameroon","2580"
"Gabon","Cameroon","811"
"Benin","Cameroon","1844"
"Guinea","Cameroon","3518"
"Liberia","Cameroon","3270"
"Mali","Cameroon","6303"
"Niger","Cameroon","8071"
"Nigeria","Cameroon","81676"
"Senegal","Cameroon","2423"
"Canada","Cameroon","137"
"United States of America","Cameroon","629"
"Cyprus","Central African Republic","7"
"Turkey","Central African Republic","7"
"Italy","Central African Republic","66"
"Slovenia","Central African Republic","43"
"Austria","Central African Republic","21"
"France","Central African Republic","9583"
"Netherlands","Central African Republic","33"
"Switzerland","Central African Republic","145"
"Russian Federation","Central African Republic","136"
"Denmark","Central African Republic","2"
"Ireland","Central African Republic","10"
"Sweden","Central African Republic","12"
"Egypt","Central African Republic","38"
"Sudan","Central African Republic","19546"
"Chad","Central African Republic","10029"
"Democratic Republic of the Congo","Central African Republic","17219"
"Sao Tome and Principe","Central African Republic","73"
"Mali","Central African Republic","301"
"Togo","Central African Republic","9"
"South Africa","Central African Republic","52"
"Australia","Central African Republic","10"
"Canada","Central African Republic","186"
"United States of America","Central African Republic","548"
"France","Chad","1056"
"Libya","Chad","1307"
"Sudan","Chad","363465"
"Cameroon","Chad","36938"
"Central African Republic","Chad","93259"
"Congo","Chad","852"
"Democratic Republic of the Congo","Chad","306"
"Gabon","Chad","349"
"Niger","Chad","3115"
"Nigeria","Chad","2977"
"Lebanon","Congo","1167"
"China","Congo","924"
"Portugal","Congo","1441"
"France","Congo","10320"
"Germany","Congo","579"
"Russian Federation","Congo","2576"
"Angola","Congo","41238"
"Cameroon","Congo","11300"
"Central African Republic","Congo","32696"
"Chad","Congo","10565"
"Democratic Republic of the Congo","Congo","170368"
"Equatorial Guinea","Congo","1582"
"Gabon","Congo","3163"
"Benin","Congo","15194"
"Mali","Congo","33918"
"Mauritania","Congo","3149"
"Senegal","Congo","13265"
"Togo","Congo","2437"
"Rwanda","Congo","25119"
"Cuba","Congo","536"
"United States of America","Congo","166"
"Sudan","Democratic Republic of the Congo","5621"
"Angola","Democratic Republic of the Congo","185205"
"Central African Republic","Democratic Republic of the Congo","73094"
"Congo","Democratic Republic of the Congo","6545"
"Burundi","Democratic Republic of the Congo","39062"
"Rwanda","Democratic Republic of the Congo","97168"
"South Sudan","Democratic Republic of the Congo","8749"
"Uganda","Democratic Republic of the Congo","6224"
"Spain","Equatorial Guinea","1279"
"France","Equatorial Guinea","4561"
"Cameroon","Equatorial Guinea","798"
"Gabon","Equatorial Guinea","256"
"Sao Tome and Principe","Equatorial Guinea","1493"
"Nigeria","Equatorial Guinea","359"
"Israel","Gabon","11"
"Lebanon","Gabon","1619"
"Syrian Arab Republic","Gabon","19"
"China","Gabon","224"
"Democratic People's Republic of Korea","Gabon","104"
"Japan","Gabon","21"
"Republic of Korea","Gabon","126"
"Belgium","Gabon","324"
"France","Gabon","10403"
"Germany","Gabon","57"
"Algeria","Gabon","71"
"Morocco","Gabon","463"
"Tunisia","Gabon","145"
"Angola","Gabon","717"
"Cameroon","Gabon","32792"
"Chad","Gabon","2929"
"Congo","Gabon","10564"
"Democratic Republic of the Congo","Gabon","5766"
"Equatorial Guinea","Gabon","56283"
"Sao Tome and Principe","Gabon","4213"
"Benin","Gabon","33794"
"Burkina Faso","Gabon","4526"
"Côte d'Ivoire","Gabon","2197"
"Ghana","Gabon","4119"
"Guinea","Gabon","3222"
"Mali","Gabon","35709"
"Nigeria","Gabon","15479"
"Senegal","Gabon","19746"
"Togo","Gabon","14900"
"South Africa","Gabon","9"
"Burundi","Gabon","109"
"Rwanda","Gabon","136"
"Canada","Gabon","189"
"United States of America","Gabon","356"
"Portugal","Sao Tome and Principe","118"
"Angola","Sao Tome and Principe","358"
"Equatorial Guinea","Sao Tome and Principe","146"
"Gabon","Sao Tome and Principe","237"
"Cabo Verde","Sao Tome and Principe","1363"
"Mozambique","Sao Tome and Principe","116"
"Iraq","Algeria","13632"
"Jordan","Algeria","4063"
"Kuwait","Algeria","2150"
"Lebanon","Algeria","2203"
"Saudi Arabia","Algeria","7062"
"State of Palestine","Algeria","56961"
"Syrian Arab Republic","Algeria","5526"
"Yemen","Algeria","4257"
"Indonesia","Algeria","2600"
"Malaysia","Algeria","1577"
"Italy","Algeria","1332"
"France","Algeria","1000"
"Germany","Algeria","1399"
"Russian Federation","Algeria","1443"
"United Kingdom of Great Britain and Northern Ireland","Algeria","1440"
"Libya","Algeria","4182"
"Sudan","Algeria","2873"
"Western Sahara","Algeria","90939"
"Somalia","Algeria","20810"
"United States of America","Algeria","1968"
"Afghanistan","Egypt","235"
"Bangladesh","Egypt","283"
"India","Egypt","1387"
"Iran (Islamic Republic of)","Egypt","168"
"Maldives","Egypt","32"
"Pakistan","Egypt","689"
"Sri Lanka","Egypt","249"
"Armenia","Egypt","179"
"Azerbaijan","Egypt","37"
"Bahrain","Egypt","448"
"Cyprus","Egypt","96"
"Iraq","Egypt","11877"
"Israel","Egypt","790"
"Jordan","Egypt","5846"
"Kuwait","Egypt","3334"
"Lebanon","Egypt","3542"
"Oman","Egypt","605"
"Qatar","Egypt","446"
"Saudi Arabia","Egypt","9125"
"State of Palestine","Egypt","150486"
"Syrian Arab Republic","Egypt","146837"
"Turkey","Egypt","998"
"United Arab Emirates","Egypt","797"
"Yemen","Egypt","6351"
"Brunei Darussalam","Egypt","77"
"Indonesia","Egypt","3211"
"Malaysia","Egypt","3144"
"Myanmar","Egypt","14"
"Philippines","Egypt","1222"
"Singapore","Egypt","160"
"Thailand","Egypt","1199"
"China","Egypt","856"
"Democratic People's Republic of Korea","Egypt","115"
"Japan","Egypt","1286"
"Mongolia","Egypt","17"
"Republic of Korea","Egypt","333"
"Kazakhstan","Egypt","237"
"Kyrgyzstan","Egypt","70"
"Tajikistan","Egypt","145"
"Turkmenistan","Egypt","53"
"Uzbekistan","Egypt","126"
"Albania","Egypt","134"
"Bosnia and Herzegovina","Egypt","70"
"Croatia","Egypt","115"
"Gibraltar","Egypt","11"
"Greece","Egypt","1423"
"Italy","Egypt","4661"
"Portugal","Egypt","51"
"Spain","Egypt","463"
"The former Yugoslav Republic of Macedonia","Egypt","134"
"Austria","Egypt","674"
"Belgium","Egypt","626"
"France","Egypt","3184"
"Germany","Egypt","8609"
"Monaco","Egypt","91"
"Netherlands","Egypt","1105"
"Switzerland","Egypt","1521"
"Belarus","Egypt","311"
"Bulgaria","Egypt","77"
"Czech Republic","Egypt","225"
"Hungary","Egypt","149"
"Poland","Egypt","423"
"Republic of Moldova","Egypt","70"
"Romania","Egypt","270"
"Russian Federation","Egypt","8348"
"Slovakia","Egypt","70"
"Ukraine","Egypt","191"
"Denmark","Egypt","337"
"Estonia","Egypt","30"
"Finland","Egypt","278"
"Ireland","Egypt","107"
"Norway","Egypt","135"
"Sweden","Egypt","394"
"United Kingdom of Great Britain and Northern Ireland","Egypt","3504"
"Algeria","Egypt","987"
"Libya","Egypt","5591"
"Morocco","Egypt","1183"
"Sudan","Egypt","31589"
"Tunisia","Egypt","872"
"Angola","Egypt","32"
"Cameroon","Egypt","141"
"Central African Republic","Egypt","65"
"Chad","Egypt","371"
"Congo","Egypt","83"
"Democratic Republic of the Congo","Egypt","146"
"Benin","Egypt","42"
"Burkina Faso","Egypt","74"
"Côte d'Ivoire","Egypt","256"
"Gambia","Egypt","33"
"Ghana","Egypt","262"
"Guinea","Egypt","160"
"Guinea-Bissau","Egypt","103"
"Liberia","Egypt","53"
"Mali","Egypt","241"
"Mauritania","Egypt","174"
"Niger","Egypt","130"
"Nigeria","Egypt","904"
"Senegal","Egypt","473"
"Sierra Leone","Egypt","70"
"Namibia","Egypt","298"
"South Africa","Egypt","249"
"Burundi","Egypt","42"
"Comoros","Egypt","1013"
"Djibouti","Egypt","414"
"Eritrea","Egypt","2368"
"Ethiopia","Egypt","1457"
"Kenya","Egypt","154"
"Madagascar","Egypt","46"
"Malawi","Egypt","32"
"Mozambique","Egypt","19"
"Rwanda","Egypt","50"
"Seychelles","Egypt","23"
"Somalia","Egypt","22709"
"Uganda","Egypt","97"
"United Republic of Tanzania","Egypt","163"
"Zambia","Egypt","30"
"Zimbabwe","Egypt","38"
"Australia","Egypt","524"
"New Zealand","Egypt","103"
"Antigua and Barbuda","Egypt","19"
"Bahamas","Egypt","17"
"Argentina","Egypt","279"
"Brazil","Egypt","146"
"Chile","Egypt","31"
"Colombia","Egypt","65"
"Ecuador","Egypt","14"
"Venezuela (Bolivarian Republic of)","Egypt","38"
"El Salvador","Egypt","237"
"Guatemala","Egypt","11"
"Mexico","Egypt","74"
"Canada","Egypt","707"
"United States of America","Egypt","6730"
"Afghanistan","Libya","320"
"Bangladesh","Libya","1250"
"India","Libya","4842"
"Iran (Islamic Republic of)","Libya","411"
"Pakistan","Libya","2459"
"Sri Lanka","Libya","367"
"Armenia","Libya","255"
"Bahrain","Libya","968"
"Iraq","Libya","68477"
"Jordan","Libya","20408"
"Kuwait","Libya","10800"
"Lebanon","Libya","11067"
"Oman","Libya","1693"
"Qatar","Libya","1414"
"Saudi Arabia","Libya","35474"
"State of Palestine","Libya","286136"
"Syrian Arab Republic","Libya","27762"
"Turkey","Libya","2535"
"United Arab Emirates","Libya","2775"
"Yemen","Libya","21380"
"Indonesia","Libya","13064"
"Malaysia","Libya","7921"
"Philippines","Libya","4410"
"Singapore","Libya","669"
"Thailand","Libya","2850"
"China","Libya","3074"
"Japan","Libya","1005"
"Republic of Korea","Libya","715"
"Kazakhstan","Libya","802"
"Tajikistan","Libya","678"
"Turkmenistan","Libya","237"
"Uzbekistan","Libya","376"
"Albania","Libya","301"
"Bosnia and Herzegovina","Libya","329"
"Greece","Libya","2617"
"Italy","Libya","6690"
"Spain","Libya","726"
"Austria","Libya","752"
"Belgium","Libya","675"
"France","Libya","5027"
"Germany","Libya","7029"
"Monaco","Libya","276"
"Netherlands","Libya","1770"
"Switzerland","Libya","932"
"Belarus","Libya","761"
"Hungary","Libya","338"
"Poland","Libya","678"
"Romania","Libya","596"
"Russian Federation","Libya","7246"
"Ukraine","Libya","874"
"Denmark","Libya","770"
"Finland","Libya","830"
"Norway","Libya","335"
"Sweden","Libya","748"
"United Kingdom of Great Britain and Northern Ireland","Libya","7232"
"Algeria","Libya","3589"
"Egypt","Libya","21004"
"Morocco","Libya","4899"
"Sudan","Libya","14428"
"Tunisia","Libya","3084"
"Chad","Libya","860"
"Congo","Libya","402"
"Democratic Republic of the Congo","Libya","434"
"Côte d'Ivoire","Libya","596"
"Ghana","Libya","614"
"Guinea-Bissau","Libya","310"
"Mali","Libya","338"
"Mauritania","Libya","357"
"Niger","Libya","357"
"Nigeria","Libya","2850"
"Senegal","Libya","1120"
"Sierra Leone","Libya","237"
"South Africa","Libya","647"
"Comoros","Libya","4295"
"Djibouti","Libya","1425"
"Eritrea","Libya","1983"
"Ethiopia","Libya","1831"
"Kenya","Libya","335"
"Somalia","Libya","104539"
"South Sudan","Libya","1776"
"United Republic of Tanzania","Libya","264"
"Australia","Libya","748"
"Brazil","Libya","255"
"El Salvador","Libya","708"
"Canada","Libya","2850"
"United States of America","Libya","9885"
"Iraq","Morocco","1743"
"Lebanon","Morocco","1373"
"Syrian Arab Republic","Morocco","2082"
"Italy","Morocco","1928"
"Spain","Morocco","4167"
"Belgium","Morocco","1426"
"France","Morocco","29271"
"Germany","Morocco","1465"
"United Kingdom of Great Britain and Northern Ireland","Morocco","1233"
"Algeria","Morocco","13664"
"Egypt","Morocco","1890"
"Libya","Morocco","1196"
"Tunisia","Morocco","2622"
"Congo","Morocco","1913"
"Guinea","Morocco","1001"
"Mauritania","Morocco","1619"
"Senegal","Morocco","1837"
"United States of America","Morocco","1858"
"India","Sudan","1277"
"China","Sudan","1111"
"Egypt","Sudan","13423"
"Libya","Sudan","1557"
"Central African Republic","Sudan","13489"
"Chad","Sudan","74514"
"Democratic Republic of the Congo","Sudan","800"
"Mali","Sudan","678"
"Nigeria","Sudan","14828"
"Eritrea","Sudan","159748"
"Ethiopia","Sudan","60734"
"Kenya","Sudan","2575"
"Somalia","Sudan","130"
"South Sudan","Sudan","135558"
"Uganda","Sudan","1250"
"Iraq","Tunisia","638"
"State of Palestine","Tunisia","553"
"Syrian Arab Republic","Tunisia","1232"
"Italy","Tunisia","2209"
"France","Tunisia","8638"
"Germany","Tunisia","1453"
"Algeria","Tunisia","10443"
"Egypt","Tunisia","1140"
"Libya","Tunisia","9147"
"Morocco","Tunisia","5803"
"Cameroon","Tunisia","718"
"Côte d'Ivoire","Tunisia","648"
"Mali","Tunisia","999"
"Mauritania","Tunisia","530"
"Nigeria","Tunisia","544"
"Senegal","Tunisia","411"
"United States of America","Tunisia","609"
"France","Western Sahara","268"
"Algeria","Western Sahara","78"
"Guinea","Western Sahara","954"
"Guinea-Bissau","Western Sahara","1007"
"Mali","Western Sahara","373"
"Mauritania","Western Sahara","542"
"Senegal","Western Sahara","1745"
"India","Botswana","9519"
"Pakistan","Botswana","700"
"Sri Lanka","Botswana","1925"
"China","Botswana","4230"
"Italy","Botswana","624"
"Portugal","Botswana","531"
"Germany","Botswana","1286"
"Netherlands","Botswana","728"
"Denmark","Botswana","395"
"Ireland","Botswana","716"
"Norway","Botswana","448"
"Sweden","Botswana","500"
"United Kingdom of Great Britain and Northern Ireland","Botswana","8264"
"Angola","Botswana","3550"
"Democratic Republic of the Congo","Botswana","3391"
"Nigeria","Botswana","744"
"Lesotho","Botswana","3258"
"Namibia","Botswana","1845"
"South Africa","Botswana","37265"
"Swaziland","Botswana","696"
"Kenya","Botswana","715"
"Madagascar","Botswana","640"
"Malawi","Botswana","4596"
"Mauritius","Botswana","1881"
"Mozambique","Botswana","1185"
"Seychelles","Botswana","266"
"Uganda","Botswana","1645"
"United Republic of Tanzania","Botswana","2967"
"Zambia","Botswana","12833"
"Zimbabwe","Botswana","31625"
"Australia","Botswana","448"
"Canada","Botswana","417"
"United States of America","Botswana","1277"
"India","Lesotho","228"
"Pakistan","Lesotho","228"
"China","Lesotho","121"
"Ghana","Lesotho","89"
"Botswana","Lesotho","108"
"Namibia","Lesotho","4"
"South Africa","Lesotho","2610"
"Swaziland","Lesotho","36"
"Malawi","Lesotho","36"
"Mozambique","Lesotho","23"
"Uganda","Lesotho","137"
"United Republic of Tanzania","Lesotho","85"
"Zambia","Lesotho","69"
"Zimbabwe","Lesotho","69"
"United States of America","Lesotho","89"
"Afghanistan","Namibia","39"
"Bangladesh","Namibia","29"
"India","Namibia","617"
"Iran (Islamic Republic of)","Namibia","27"
"Pakistan","Namibia","152"
"Armenia","Namibia","57"
"Bahrain","Namibia","44"
"Israel","Namibia","99"
"Lebanon","Namibia","42"
"Turkey","Namibia","32"
"Indonesia","Namibia","82"
"Philippines","Namibia","225"
"Thailand","Namibia","67"
"China","Namibia","2847"
"Democratic People's Republic of Korea","Namibia","92"
"Japan","Namibia","103"
"Republic of Korea","Namibia","32"
"Italy","Namibia","755"
"Portugal","Namibia","396"
"Spain","Namibia","315"
"Austria","Namibia","558"
"Belgium","Namibia","168"
"France","Namibia","491"
"Germany","Namibia","8309"
"Luxembourg","Namibia","39"
"Netherlands","Namibia","473"
"Switzerland","Namibia","392"
"Bulgaria","Namibia","27"
"Czech Republic","Namibia","69"
"Poland","Namibia","154"
"Romania","Namibia","27"
"Russian Federation","Namibia","416"
"Ukraine","Namibia","235"
"Denmark","Namibia","103"
"Finland","Namibia","72"
"Ireland","Namibia","55"
"Norway","Namibia","48"
"Sweden","Namibia","92"
"United Kingdom of Great Britain and Northern Ireland","Namibia","1575"
"Algeria","Namibia","443"
"Egypt","Namibia","159"
"Libya","Namibia","32"
"Sudan","Namibia","182"
"Angola","Namibia","33980"
"Cameroon","Namibia","108"
"Congo","Namibia","1024"
"Democratic Republic of the Congo","Namibia","2918"
"Benin","Namibia","143"
"Burkina Faso","Namibia","65"
"Côte d'Ivoire","Namibia","27"
"Gambia","Namibia","78"
"Ghana","Namibia","131"
"Guinea","Namibia","48"
"Nigeria","Namibia","900"
"Senegal","Namibia","27"
"Sierra Leone","Namibia","149"
"Botswana","Namibia","603"
"Lesotho","Namibia","115"
"South Africa","Namibia","7775"
"Swaziland","Namibia","179"
"Burundi","Namibia","356"
"Ethiopia","Namibia","193"
"Kenya","Namibia","1017"
"Malawi","Namibia","338"
"Mauritius","Namibia","97"
"Mozambique","Namibia","125"
"Rwanda","Namibia","328"
"Seychelles","Namibia","51"
"Somalia","Namibia","85"
"Uganda","Namibia","440"
"United Republic of Tanzania","Namibia","1006"
"Zambia","Namibia","2772"
"Zimbabwe","Namibia","13247"
"Australia","Namibia","491"
"New Zealand","Namibia","45"
"Antigua and Barbuda","Namibia","429"
"Bahamas","Namibia","45"
"Cuba","Namibia","623"
"Argentina","Namibia","45"
"Brazil","Namibia","489"
"Chile","Namibia","29"
"Canada","Namibia","172"
"United States of America","Namibia","962"
"Afghanistan","South Africa","83"
"Bangladesh","South Africa","2908"
"India","South Africa","43250"
"Iran (Islamic Republic of)","South Africa","710"
"Maldives","South Africa","56"
"Nepal","South Africa","130"
"Pakistan","South Africa","10724"
"Sri Lanka","South Africa","1059"
"Bahrain","South Africa","177"
"Cyprus","South Africa","5278"
"Iraq","South Africa","151"
"Israel","South Africa","4799"
"Jordan","South Africa","56"
"Kuwait","South Africa","91"
"Lebanon","South Africa","994"
"Oman","South Africa","32"
"Saudi Arabia","South Africa","630"
"State of Palestine","South Africa","99"
"Syrian Arab Republic","South Africa","129"
"Turkey","South Africa","1213"
"United Arab Emirates","South Africa","184"
"Yemen","South Africa","84"
"Brunei Darussalam","South Africa","23"
"Indonesia","South Africa","1309"
"Lao People's Democratic Republic","South Africa","32"
"Malaysia","South Africa","927"
"Myanmar","South Africa","218"
"Philippines","South Africa","1610"
"Singapore","South Africa","927"
"Thailand","South Africa","940"
"Viet Nam","South Africa","164"
"China","South Africa","25180"
"China, Hong Kong Special Administrative Region","South Africa","1734"
"Democratic People's Republic of Korea","South Africa","125"
"Japan","South Africa","1879"
"Republic of Korea","South Africa","1788"
"Kyrgyzstan","South Africa","22"
"Albania","South Africa","164"
"Bosnia and Herzegovina","South Africa","184"
"Croatia","South Africa","1020"
"Gibraltar","South Africa","54"
"Greece","South Africa","9697"
"Italy","South Africa","25070"
"Malta","South Africa","348"
"Portugal","South Africa","48738"
"Serbia","South Africa","4132"
"Spain","South Africa","1565"
"The former Yugoslav Republic of Macedonia","South Africa","123"
"Austria","South Africa","5501"
"Belgium","South Africa","8538"
"France","South Africa","8132"
